title,status,genre,platform,publisher,age,review,like
Tarisland,1,MMORPG,Windows,Tencent,0,83,1
Overwatch 2,1,Shooter,Windows,Activision Blizzard,2,88,1
PUBG: BATTLEGROUNDS,1,Shooter,Windows,"KRAFTON, Inc.",2,77,0
Enlisted,1,Shooter,Windows,Gaijin Entertainment,3,96,0
Forge of Empires,1,Strategy,Web Browser,InnoGames,12,58,1
Genshin Impact,1,Action RPG,Windows,miHoYo,4,90,1
Fall Guys,1,Battle Royale,Windows,Mediatonic,4,76,1
Game Of Thrones Winter Is Coming,1,Strategy,Web Browser,GTArcade,5,68,0
Elvenar,1,Strategy,Web Browser,InnoGames,9,63,0
Neverwinter,1,MMORPG,Windows,Perfect World Entertainment,11,92,0
Dark Orbit Reloaded,1,Shooter,Web Browser,Bigpoint,18,100,1
Lost Ark,1,ARPG,Windows,Amazon Games,2,80,1
Titan Revenge,1,MMORPG,Web Browser,Game Hollywood Games,1,83,0
Diablo Immortal,1,MMOARPG,Windows,Blizzard Entertainment,2,100,1
Flyff Universe,1,MMORPG,Web Browser,Gala Lab,2,100,1
Phantasy Star Online 2 New Genesis,1,MMORPG,Windows,Sega,3,75,0
Eternal Fury,1,MMORPG,Web Browser,R2 Games,5,83,0
Crossout,1,Shooter,Windows,Targem,7,59,1
World of Warships,1,Shooter,Windows,Wargaming,9,89,1
War Thunder,1,Shooter,Windows,Gaijin Entertainment,11,92,1
World of Tanks,1,Shooter,Windows,Wargaming,13,83,0
XDefiant,1,Shooter,Windows,Ubisoft,0,50,1
Palia,1,MMORPG,Windows,Singularity Six,1,100,1
Halo Infinite,1,Shooter,Windows,Xbox Game Studios,3,100,1
League of Angels - Heaven's Fury,1,MMORPG,Web Browser,Gtarcade,4,85,1
Star Trek Online,1,MMORPG,Windows,Perfect World Entertainment,14,82,1
Tower of Fantasy,1,MMORPG,Windows,Level Infinite,2,100,0
Noah’s Heart,1,MMORPG,Windows,Archosaur Games,2,100,1
Valorant,1,Shooter,Windows,Riot Games,4,84,1
Phantasy Star Online 2,1,MMORPG,Windows,SEGA,4,88,1
Call Of Duty: Warzone,1,Shooter,Windows,Activision,4,90,1
Destiny 2,1,Shooter,Windows,Bungie,5,93,1
Dauntless,1,MMORPG,Windows,Phoenix Labs,5,88,1
Apex Legends,1,Shooter,Windows,Electronic Arts,5,94,0
Fortnite,1,Shooter,Windows,Epic Games,7,65,1
Albion Online,1,MMORPG,Windows,Sandbox Interactive GmbH,7,76,1
Blade and Soul,1,MMORPG,Windows,NCSoft,8,100,1
Brawlhalla,1,Fighting,Windows,Blue Mammoth Games,9,90,1
Trove,1,MMORPG,Windows,Trion Worlds,9,91,1
Smite,1,MOBA,Windows,Hi-Rez Studios,10,86,0
Warframe,1,Shooter,Windows,Digital Extremes,11,95,1
Guild Wars 2,1,MMORPG,Windows,NCsoft,12,95,1
Goodgame Empire,1,Strategy,Web Browser,Goodgame Studios,13,67,1
Drakensang Online,1,MMORPG,Web Browser,Bigpoint,13,40,1
RuneScape,1,MMORPG,"Windows, Web Browser",Jagex,23,100,1
Stronghold Kingdoms,1,Strategy,Web Browser,FireFly Studios,12,83,0
Spectre Divide,1,Shooter,Windows,Mountaintop Studios,0,83,1
Vigor,1,Shooter,Windows,Bohemia Interactive ,0,100,0
The First Descendant,1,Shooter,Windows,Nexon,0,100,1
Once Human,1,Shooter,Windows,Starry Studio,0,100,1
Stormgate,1,Strategy,Windows,Frost Giant Studios,0,100,1
